Genotype,Head(Normal),Tail(Normal),Head(Partial),Tail(Partial),Head(Abnormal),Tail(Abnormal)
Wild Type,38,23,1,0,0,0
wdr-31(tm10423),23,14,2,0,0,0
wdr-31(syb1568),32,25,17,0,0,0
elmd-1,18,7,1,0,0,0
rpi-2,34,30,5,0,0,0
wdr-31 (tm10423); elmd-1,14,32,42,18,63,26
wdr-31 (tm10423); elmd-1; Ex[ELMD-1(+)],92,77,26,9,4,4
elmd-1; rpi-2,50,66,36,0,1,3
wdr-31(tm10423); elmd-1;rpi-2(1),1,0,23,0,136,110
wdr-31(tm10423); elmd-1;rpi-2;Ex[ELMD-1(+)],69,139,85,1,10,1
wdr-31(syb1568); elmd-1;rpi-2,5,2,19,0,33,49
wdr-31(syb1568); elmd-1;rpi-2;Ex[WDR-31(+)],8,38,36,1,5,0
wdr-31(tm10423); elmd-1;rpi-2;Ex[RPI-2(+)],14,26,16,1,7,1
wdr-31(tm10423); elmd-1;rpi-2(2),12,0,7,0,39,38
